,Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA50,RSI14,Signal
0,2023-09-05,1425.0,1429.800048828125,1416.3499755859375,1423.75,1408.117431640625,1469938,,,,
1,2023-09-06,1421.75,1421.75,1396.449951171875,1408.6500244140625,1393.1832275390625,4046484,,,,
2,2023-09-07,1408.6500244140625,1443.199951171875,1398.0,1439.5999755859375,1423.7933349609375,2278316,,,,
3,2023-09-08,1445.0,1459.949951171875,1434.0999755859375,1448.8499755859375,1432.9417724609375,2862657,,,,
4,2023-09-11,1449.050048828125,1452.0,1431.75,1450.199951171875,1434.27685546875,2220230,,,,
5,2023-09-12,1450.0999755859375,1453.9000244140625,1425.0999755859375,1429.1500244140625,1413.4581298828125,1943026,,,,
6,2023-09-13,1429.9000244140625,1459.6500244140625,1416.050048828125,1455.050048828125,1439.07373046875,4302942,,,,
7,2023-09-14,1459.949951171875,1467.8499755859375,1450.449951171875,1458.25,1442.238525390625,2407947,,,,
8,2023-09-15,1464.4000244140625,1464.4000244140625,1446.449951171875,1450.0,1434.0791015625,1647901,,,,
9,2023-09-18,1454.0,1462.75,1445.1500244140625,1456.9000244140625,1440.9034423828125,1504046,,,,
10,2023-09-20,1441.0,1475.6500244140625,1422.300048828125,1440.449951171875,1424.6339111328125,5683215,,,,
11,2023-09-21,1431.0,1443.6500244140625,1406.3499755859375,1411.300048828125,1395.8040771484375,2514377,,,,
12,2023-09-22,1416.0,1463.5,1413.0,1452.9000244140625,1436.9473876953125,4397398,,,,
13,2023-09-25,1451.5,1454.550048828125,1434.0999755859375,1442.75,1426.9088134765625,2013653,,,54.331969202406455,
14,2023-09-26,1440.0,1443.949951171875,1411.6500244140625,1423.050048828125,1407.4251708984375,2870137,,,49.85356655086149,
15,2023-09-27,1425.0,1439.0,1418.300048828125,1436.449951171875,1420.6778564453125,3697690,,,55.85755666657578,
16,2023-09-28,1437.0,1445.3499755859375,1409.449951171875,1413.0,1397.4854736328125,5876746,,,44.21235589122872,
17,2023-09-29,1415.050048828125,1439.949951171875,1399.300048828125,1428.8499755859375,1413.161376953125,2593595,,,45.769875440594944,
