Ticker,Date,Open,High,Low,Close,Adj Close,Volume
ADANIPORTS.NS,2024-03-05,1344.050048828125,1354.949951171875,1334.0,1338.300048828125,1332.5826416015625,1815438.0
ADANIPORTS.NS,2024-03-06,1342.699951171875,1344.5999755859375,1304.0,1324.800048828125,1319.1402587890625,2758443.0
ADANIPORTS.NS,2024-03-07,1329.800048828125,1335.3499755859375,1315.0,1325.449951171875,1319.787353515625,1640786.0
ADANIPORTS.NS,2024-03-11,1331.0,1342.3499755859375,1322.050048828125,1326.949951171875,1321.281005859375,2217673.0
ADANIPORTS.NS,2024-03-12,1335.0,1346.949951171875,1293.449951171875,1301.300048828125,1295.74072265625,3139768.0
ADANIPORTS.NS,2024-03-13,1307.0,1308.0,1188.0999755859375,1209.550048828125,1204.3826904296875,8670336.0
ADANIPORTS.NS,2024-03-14,1210.0,1276.0,1195.699951171875,1267.8499755859375,1262.4334716796875,7195603.0
ADANIPORTS.NS,2024-03-15,1273.800048828125,1288.8499755859375,1256.6500244140625,1283.0,1277.518798828125,4024586.0
ADANIPORTS.NS,2024-03-18,1250.0,1270.050048828125,1227.25,1266.5999755859375,1261.1888427734375,4858444.0
ADANIPORTS.NS,2024-03-19,1271.050048828125,1272.8499755859375,1237.25,1241.199951171875,1235.8973388671875,2311324.0
ADANIPORTS.NS,2024-03-20,1248.0,1252.949951171875,1230.199951171875,1245.4000244140625,1240.0794677734375,2772098.0
ADANIPORTS.NS,2024-03-21,1260.0,1268.699951171875,1251.300048828125,1262.449951171875,1257.0565185546875,3155563.0
ADANIPORTS.NS,2024-03-22,1262.449951171875,1289.0999755859375,1255.050048828125,1281.5999755859375,1276.124755859375,3076926.0
ADANIPORTS.NS,2024-03-26,1281.5999755859375,1314.0,1281.0,1304.199951171875,1298.628173828125,3610644.0
ADANIPORTS.NS,2024-03-27,1315.0,1343.0,1312.0999755859375,1322.800048828125,1317.1488037109375,4938400.0
ADANIPORTS.NS,2024-03-28,1334.0,1358.699951171875,1314.0,1341.8499755859375,1336.117431640625,4188741.0
ADANIPORTS.NS,2024-04-01,1356.800048828125,1381.75,1350.25,1375.9000244140625,1370.02197265625,3251462.0
ADANIPORTS.NS,2024-04-02,1397.800048828125,1424.949951171875,1388.199951171875,1404.1500244140625,1398.1512451171875,5769001.0
ADANIPORTS.NS,2024-04-03,1399.8499755859375,1402.0,1389.199951171875,1397.199951171875,1391.2308349609375,2727582.0
